product_id,category,style,color,price,discount_%,final_price,rating,reviews,brand,image_url,product_link
P001,tank top,sportswear,black,1375,30,962,4.3,197,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=tank+top
P002,dress,ethnic,green,1170,15,994,4.9,228,Raymond,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P003,crop top,streetwear,grey,3565,15,3030,4.1,100,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P004,jeans,partywear,pink,4157,30,2909,4.7,244,Zara,https://images.unsplash.com/photo-1582552938357-32b906df40cb,https://www.amazon.in/s?k=jeans
P005,jacket,sportswear,navy,3886,10,3497,4.5,382,Puma,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P006,palazzo,streetwear,blue,3111,20,2488,4.1,138,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=palazzo
P007,coat,smart-casual,beige,1261,10,1134,4.9,206,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=coat
P008,shorts,casual,brown,3134,10,2820,4.0,292,Nike,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P009,blazer dress,smart-casual,red,3048,20,2438,4.9,428,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=blazer+dress
P010,athleisure set,winterwear,black,1369,25,1026,4.6,274,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=athleisure+set
P011,kurta,streetwear,blue,2330,20,1864,3.9,321,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P012,crop top,sportswear,white,4110,30,2877,4.4,217,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P013,polo t-shirt,winterwear,grey,4413,25,3309,4.1,264,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P014,shorts,streetwear,grey,4930,20,3944,3.9,115,Levis,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P015,polo t-shirt,winterwear,white,1586,10,1427,4.6,311,Puma,https://via.placeholder.com/150,https://www.amazon.in/s?k=polo+t-shirt
P016,nightwear,formal,brown,1225,10,1102,4.3,52,Adidas,https://via.placeholder.com/150,https://www.amazon.in/s?k=nightwear
P017,crop top,partywear,black,4063,30,2844,4.4,197,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P018,blazer,ethnic,grey,3164,15,2689,4.0,242,Forever21,https://images.unsplash.com/photo-1593032465175-481ac7f401a0,https://www.amazon.in/s?k=blazer
P019,crop top,sportswear,beige,4590,20,3672,4.7,266,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P020,hoodie,smart-casual,navy,4544,10,4089,4.8,362,H&M,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,https://www.amazon.in/s?k=hoodie
P021,dress,business,grey,1398,25,1048,4.3,132,FabIndia,https://images.unsplash.com/photo-1496747611176-843222e1e57c,https://www.amazon.in/s?k=dress
P022,skirt,streetwear,navy,2976,30,2083,4.7,143,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=skirt
P023,crop top,streetwear,pink,4446,30,3112,4.4,463,FabIndia,https://via.placeholder.com/150,https://www.amazon.in/s?k=crop+top
P024,shorts,formal,red,4601,25,3450,4.6,500,H&M,https://via.placeholder.com/150,https://www.amazon.in/s?k=shorts
P025,kurta,partywear,grey,4613,25,3459,4.4,138,Allen Solly,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurta
P026,jeans,business,navy,2151,20,1720,4.5,279,FabIndia,https://images.unsplash.com/photo-1582552938357-32b906df40cb,https://www.amazon.in/s?k=jeans
P027,kurti,formal,blue,798,15,678,4.3,340,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=kurti
P028,sports t-shirt,smart-casual,pink,4003,20,3202,4.7,185,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=sports+t-shirt
P029,jacket,formal,pink,2469,15,2098,4.8,310,FabIndia,https://images.unsplash.com/photo-1544966503-7cc5ac882d5b,https://www.amazon.in/s?k=jacket
P030,cargo pants,business,brown,2227,10,2004,4.0,250,Biba,https://via.placeholder.com/150,https://www.amazon.in/s?k=cargo+pants
P031,t-shirt,sportswear,pink,2137,15,1816,4.3,468,H&M,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,https://www.amazon.in/s?k=t-shirt
P032,nightwear,streetwear,green,4041,15,3434,4.1,89,Zara,https://via.placeholder.com/150,https://www.amazon.in/s?k=nightwear
